"Date","Price","Open","High","Low","Vol.","Change %"
"03/05/2024","2,291.00","2,291.00","2,291.00","2,291.00","","-0.26%"
"03/04/2024","2,297.00","2,297.00","2,297.00","2,297.00","","4.27%"
"03/01/2024","2,203.00","2,203.00","2,203.00","2,203.00","","4.36%"
"02/29/2024","2,111.00","2,111.00","2,111.00","2,111.00","","3.43%"
"02/28/2024","2,041.00","2,041.00","2,041.00","2,041.00","","7.48%"
"02/27/2024","1,899.00","1,899.00","1,899.00","1,899.00","","1.50%"
"02/26/2024","1,871.00","1,871.00","1,871.00","1,871.00","","0.27%"
"02/23/2024","1,866.00","1,866.00","1,866.00","1,866.00","","6.51%"
"02/22/2024","1,752.00","1,752.00","1,752.00","1,752.00","","4.53%"
"02/21/2024","1,676.00","1,676.00","1,676.00","1,676.00","","2.70%"
"02/20/2024","1,632.00","1,632.00","1,632.00","1,632.00","","0.18%"
"02/19/2024","1,629.00","1,629.00","1,629.00","1,629.00","","1.18%"
"02/16/2024","1,610.00","1,610.00","1,610.00","1,610.00","","1.83%"
"02/15/2024","1,581.00","1,581.00","1,581.00","1,581.00","","-0.06%"
"02/14/2024","1,582.00","1,582.00","1,582.00","1,582.00","","-0.19%"
"02/13/2024","1,585.00","1,585.00","1,585.00","1,585.00","","0.83%"
"02/12/2024","1,572.00","1,572.00","1,572.00","1,572.00","","1.75%"
"02/09/2024","1,545.00","1,545.00","1,545.00","1,545.00","","4.89%"
"02/08/2024","1,473.00","1,473.00","1,473.00","1,473.00","","-0.94%"
"02/07/2024","1,487.00","1,487.00","1,487.00","1,487.00","","-1.91%"
"02/06/2024","1,516.00","1,516.00","1,516.00","1,516.00","","5.57%"
"02/05/2024","1,436.00","1,436.00","1,436.00","1,436.00","","2.06%"
"02/02/2024","1,407.00","1,407.00","1,407.00","1,407.00","","1.37%"
"02/01/2024","1,388.00","1,388.00","1,388.00","1,388.00","","-0.72%"
"01/31/2024","1,398.00","1,398.00","1,398.00","1,398.00","","0.07%"
"01/30/2024","1,397.00","1,397.00","1,397.00","1,397.00","","-4.32%"
"01/29/2024","1,460.00","1,460.00","1,460.00","1,460.00","","-3.82%"
"01/26/2024","1,518.00","1,518.00","1,518.00","1,518.00","","1.27%"
"01/25/2024","1,499.00","1,499.00","1,499.00","1,499.00","","-0.53%"
"01/24/2024","1,507.00","1,507.00","1,507.00","1,507.00","","2.31%"
"01/23/2024","1,473.00","1,473.00","1,473.00","1,473.00","","-2.96%"
"01/22/2024","1,518.00","1,518.00","1,518.00","1,518.00","","1.00%"
"01/19/2024","1,503.00","1,503.00","1,503.00","1,503.00","","10.76%"
"01/18/2024","1,357.00","1,357.00","1,357.00","1,357.00","","3.75%"
"01/17/2024","1,308.00","1,308.00","1,308.00","1,308.00","","-1.21%"
"01/16/2024","1,324.00","1,324.00","1,324.00","1,324.00","","-2.65%"
"01/15/2024","1,360.00","1,360.00","1,360.00","1,360.00","","-6.85%"
"01/12/2024","1,460.00","1,460.00","1,460.00","1,460.00","","-6.05%"
"01/11/2024","1,554.00","1,554.00","1,554.00","1,554.00","","-6.61%"
"01/10/2024","1,664.00","1,664.00","1,664.00","1,664.00","","-11.25%"
"01/09/2024","1,875.00","1,875.00","1,875.00","1,875.00","","-7.27%"
"01/08/2024","2,022.00","2,022.00","2,022.00","2,022.00","","-4.17%"
"01/05/2024","2,110.00","2,110.00","2,110.00","2,110.00","","1.15%"
"01/04/2024","2,086.00","2,086.00","2,086.00","2,086.00","","-0.24%"
